ID,title,link,address,latlng,review,type
415,"Bún Chả, Bún Đậu Mắm Tôm & Gỏi Cuốn Hà Nội - Năm Hào Quán",https://shopeefood.vn/da-nang/bun-cha-bun-dau-mam-tom-goi-cuon-ha-noi-nam-hao-quan,"03 Ninh Tốn, P. Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",,,restaurant
416,Bánh Căn Hẻm - Bún Mắm - Kiệt 8 Hoàng Diệu,https://shopeefood.vn/da-nang/banh-can-hem-bun-mam-kiet-8-hoang-dieu,"K338/66 Hoàng Diệu, P. Bình Hiên, Quận Hải Châu, Đà Nẵng",,Yêu thích,restaurant
417,Bánh Tráng Kẹp Chị Bé - Thanh Sơn,https://shopeefood.vn/da-nang/banh-trang-kep-chi-be-thanh-son,"02 Thanh Sơn, P. Thanh Bình, Quận Hải Châu, Đà Nẵng",,,restaurant
418,Má Phượng - Bèo & Nậm Gói - Lê Văn Đức,https://shopeefood.vn/da-nang/ma-phuong-beo-nam-goi-le-van-duc,"33 Lê Văn Đức, P. Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",,,restaurant
419,"Điểu - Bún, Mỳ Quảng & Nước Ép Trái Cây Các Loại - Trần Nam Trung",https://shopeefood.vn/da-nang/dieu-bun-my-quang-nuoc-ep-trai-cay-cac-loai-tran-nam-trung,"22 Trần Nam Trung, P. Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
420,Don's Food - Bánh Cá Nướng & Trà,https://shopeefood.vn/da-nang/don-s-food-banh-ca-nuong-tra,"93 Huỳnh Tấn Phát, P. Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",,,restaurant
421,Gia Lai Quán - Bún Cua Gia Lai - Đà Nẵng,https://shopeefood.vn/da-nang/gia-lai-quan-bun-cua-gia-lai-da-nang,"K322/8/17 Hải Phòng, Quận Thanh Khê, Đà Nẵng",,,restaurant
422,"Năm Tường - Chân Gà, Gỏi Cuốn & Nước Ép - Ông Ích Khiêm",https://shopeefood.vn/da-nang/nam-tuong-chan-ga-goi-cuon-nuoc-ep-ong-ich-khiem,"432/07 Ông Ích Khiêm, P. Hải Châu 2, Quận Hải Châu, Đà Nẵng",,,restaurant
423,Bé Dâu - Ăn Vặt & Món Nhậu,https://shopeefood.vn/da-nang/be-dau-an-vat-mon-nhau,"101 Hồ Tùng Mậu, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
424,Tiệm Cháo Ếch - Xoong,https://shopeefood.vn/da-nang/tiem-chao-ech-xoong,"126/56 Chính Hữu, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",,,restaurant
425,"Sinh Tố, Nước Ép & Kem Bơ - Trần Quốc Toản",https://shopeefood.vn/da-nang/sinh-to-nuoc-ep-kem-bo-tran-quoc-toan,"34 Trần Quốc Toản, P. Hải Châu 1, Quận Hải Châu, Đà Nẵng",,,restaurant
426,Cá Viên Chiên Nước Mắm Bơ Tỏi Thanh Tuấn - Ăn Vặt & Cá Viên Chiên Các Loại - K264/94/01 Hoàng Văn Thái,https://shopeefood.vn/da-nang/ca-vien-chien-nuoc-mam-bo-toi-thanh-tuan-an-vat-ca-vien-chien-cac-loai-k264-94-01-hoang-van-thai,"K264/94/01Hoàng Văn Thái, P. Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",,,restaurant
427,Trứng Gà Nướng No Name CN2 - Trà Trái Cây & Nước Ép,https://shopeefood.vn/da-nang/trung-ga-nuong-no-name-cn2-tra-trai-cay-nuoc-ep,"24 Nguyễn Huy Tưởng, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
428,Chiêng Food - Bánh Mì Nguyên Cám & Bơ Hạt Nguyên Chất - 70 Vũ Xuân Thiều,https://shopeefood.vn/da-nang/chieng-food-banh-mi-nguyen-cam-bo-hat-nguyen-chat-70-vu-xuan-thieu,"70 Vũ Xuân Thiều, P. Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
429,Ốc Hot Đà Nẵng,https://shopeefood.vn/da-nang/oc-hot-da-nang,"17/22 Mỹ Đa Đông 12, P. Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",,,restaurant
430,TIỆM CƠM GÀ MÚP - Cơm Gà Xối Mỡ - 162/2 Tô Hiến Thành,https://shopeefood.vn/da-nang/tiem-com-ga-mup-com-ga-xoi-mo-162-2-to-hien-thanh.1cqopl,"162/2 tô hiến thành, Quận Sơn Trà, Đà Nẵng",,,restaurant
431,Tiệm Bánh Cá Taiyaki Nhà Miu Miu - Bánh Đồng Xu 10 Won & Lạp Xưởng Nướng Đá - 349 Trưng Nữ Vương,https://shopeefood.vn/da-nang/tiem-banh-ca-taiyaki-nha-miu-miu-banh-dong-xu-10-won-lap-xuong-nuong-da-349-trung-nu-vuong,"349 Trưng Nữ Vương, P. Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng",,Yêu thích,restaurant
432,Healthy Food - Cơm Ăn Kiêng & Cơm Văn Phòng - SAM KITCHEN,https://shopeefood.vn/da-nang/healthy-food-com-an-kieng-com-van-phong-sam-kitchen,"K98/20 Trần Cao Vân, P. Tam Thuận, Quận Thanh Khê, Đà Nẵng",,Yêu thích,restaurant
433,Tiệm Trà 15K - Núi Thành,https://shopeefood.vn/da-nang/tiem-tra-15k-nui-thanh,"616 Núi Thành, P. Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",,,restaurant
434,Cơm Văn Phòng Quỳnh Như,https://shopeefood.vn/da-nang/com-van-phong-quynh-nhu,"54 Hải Hồ, P. Thanh Bình, Quận Hải Châu, Đà Nẵng",,,restaurant
435,Gỏi Cuốn Mẹ Bia - Ăn Vặt - 37 Hoà Minh 21,https://shopeefood.vn/da-nang/goi-cuon-me-bia-an-vat-37-hoa-minh-21,"37 Hoà Minh 21, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,Yêu thích,restaurant
436,Chân Gà Sả Ớt Kai Nguyễn - Shop Online,https://shopeefood.vn/da-nang/chan-ga-sa-ot-kai-nguyen,"100 Nguyễn Công Trứ, P. An Hải Bắc, Quận Sơn Trà, Đà Nẵng",,,restaurant
437,Xình Healthy - Nước Ép - Đống Đa,https://shopeefood.vn/da-nang/xinh-healthy-nuoc-ep-dong-da,"162/10B Đống Đa, P. Thuận Phước, Quận Hải Châu, Đà Nẵng",,,restaurant
438,Cháo Dinh Dưỡng Papadashi - 44 Nguyễn Phan Vinh,https://shopeefood.vn/da-nang/chao-dinh-duong-papadashi-44-nguyen-phan-vinh,"44 Nguyễn Phan Vinh, P. Thọ Quang, Quận Sơn Trà, Đà Nẵng",,,restaurant
439,Lu Cream,https://shopeefood.vn/da-nang/lu-cream,"201 Nguyễn Huy Tự, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
440,BIU HOTDOG - Mỳ Ý & Hotdog Phô Mai Kéo Sợi,https://shopeefood.vn/da-nang/biu-hotdog-my-y-hotdog-pho-mai-keo-soi,"233/17 Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng",,,restaurant
441,SIN Food - Cơm Trộn & Mì Trộn - Ăn Vặt ShopOnline,https://shopeefood.vn/da-nang/sin-food-com-tron-mi-tron-an-vat-shoponline,"101 Bãi Sậy, P. Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",,,restaurant
442,MIU Enjoy Every Sandwich - 128 Mai Am,https://shopeefood.vn/da-nang/miu-enjoy-every-sandwich-128-mai-am,"128 Mai Am, P. Thuận Phước, Quận Hải Châu, Đà Nẵng",,,restaurant
443,Cơm Thố Gà Gia Nguyên - Cơm Chiên Giòn,https://shopeefood.vn/da-nang/com-tho-ga-gia-nguyen-com-chien-gion,"78 Lâm Quang Thự, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
444,Bún Bò Mỳ Quảng BÉ NA - 342 Tôn Đức Thắng,https://shopeefood.vn/da-nang/bun-bo-my-quang-na,"342 Tôn Đức Thắng, P. Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng",,,restaurant
445,Bún Chả Cá Lý Sơn - 115 Nguyễn Huy Tưởng,https://shopeefood.vn/da-nang/bun-cha-ca-ly-son-115-nguyen-huy-tuong,"115 Nguyễn Huy Tưởng, P. Hòa Minh, Quận Liên Chiểu, Đà Nẵng",,,restaurant
446,Egg & More - 35A Xô Viết Nghệ Tĩnh,https://shopeefood.vn/da-nang/egg-more-35a-xo-viet-nghe-tinh,"35A Xô Viết Nghệ Tĩnh, P. Hòa Cường Nam, Quận Hải Châu, Đà Nẵng",,,restaurant
447,Bé Hương - Bánh Tráng Kẹp - Lê Đình Lý,https://shopeefood.vn/da-nang/be-huong-banh-trang-kep-le-dinh-ly,"K149/19 Lê Đình Lý, P. Vĩnh Trung, Quận Thanh Khê, Đà Nẵng",,,restaurant
448,KoKo Green Kafe,https://shopeefood.vn/da-nang/koko-green-kafe,"17 Tân An 1, P. Hoà Cường Bắc, Quận Hải Châu, Đà Nẵng",,Yêu thích,restaurant
449,Bún Mắm 66 - Bún Mắm & Bánh Ướt - Nguyễn Chánh,https://shopeefood.vn/da-nang/bun-mam-66-bun-mam-banh-uot-nguyen-chanh.z0dykk,"66 Nguyễn Chánh, Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",,,restaurant
450,Chè Mỹ - Đà Nẵng,https://shopeefood.vn/da-nang/che-my-da-nang,"33 Hoà Mỹ 3, Quận Liên Chiểu, Đà Nẵng",,,restaurant
